DATE TIME,STEP,STEP REWARD SELL,LOSS SELL,EPSILON,SUM PLAY SCORE SELL,BEST SUM PLAY SCORE SELL,TARGET UPDATE,TIMESTAMP
Tue Nov 23 05:22:25 2021,17100,-9.319243144069727,0.059992031432274315,0.8428292811481425,-99.27496843273609,,,1637619745.988719
Tue Nov 23 05:23:12 2021,18000,,,,,,1.0,1637619792.609609
Tue Nov 23 05:23:13 2021,18000,-14.426761286420607,0.057792268014616434,0.8352778124422134,-134.7663540439735,,,1637619793.3356676
Tue Nov 23 05:23:59 2021,18900,-3.9419622346622294,0.05735272224371632,0.8277940023723716,-145.171149572477,,,1637619839.8393545
Tue Nov 23 05:24:04 2021,19000,,,,,,1.0,1637619844.8659155
Tue Nov 23 05:24:45 2021,19800,-19.45766125990027,0.0561945426878002,0.8203772447398489,-88.77672380121686,,,1637619885.5370445
Tue Nov 23 05:24:55 2021,20000,,,,,,1.0,1637619895.5043957
Tue Nov 23 05:25:32 2021,20700,-41.774630865736505,0.05716297919758492,0.8130269387772104,-207.1986697089132,,,1637619932.1989412
Tue Nov 23 05:25:47 2021,21000,,,,,,1.0,1637619947.1602657
Tue Nov 23 05:26:19 2021,21600,4.029859533444258,0.05824254803359508,0.8057424890997034,-33.12467066868565,,,1637619979.0900764
Tue Nov 23 05:26:39 2021,22000,,,,,,1.0,1637619999.2691262
Tue Nov 23 05:27:05 2021,22500,13.142791224855667,0.05375105216064387,0.798523305657021,-45.19532560018028,,,1637620025.7396996
Tue Nov 23 05:27:31 2021,23000,,,,,,1.0,1637620051.9196165
Tue Nov 23 05:27:53 2021,23400,-14.774822540042631,0.05074301313815845,0.791368803685508,59.824897210134225,True,,1637620073.7959926
Tue Nov 23 05:28:26 2021,24000,,,,,,1.0,1637620106.3338997
Tue Nov 23 05:28:42 2021,24300,19.622617322324352,0.04974800327792764,0.7842784036607982,-42.58320392175587,,,1637620122.4687626
Tue Nov 23 05:29:19 2021,25000,,,,,,1.0,1637620159.3196473
Tue Nov 23 05:29:30 2021,25200,4.120879487162313,0.05486515497685306,0.7772515312508697,-49.26918647763474,,,1637620170.8910894
Tue Nov 23 05:30:13 2021,26000,,,,,,1.0,1637620213.065535
Tue Nov 23 05:30:18 2021,26100,-18.281400504977025,0.053078380769325625,0.7702876172695216,-48.89065778740121,,,1637620218.9505405
Tue Nov 23 05:31:05 2021,27000,,,,,,1.0,1637620265.887836
Tue Nov 23 05:31:06 2021,27000,7.511413241342544,0.05147416613789069,0.7633860976302757,-19.782583064435556,,,1637620266.6198783
